brand,categories,colorway,deadstock_sold,gender,style_id,thumbnail_url,url
Nike,"['LeBron', 'Ten']",Dark Atomic Teal/Reflective Silver-TD PL Blue,14,men,618217-300,"https://stockx.imgix.net/Nike-Lebron-X-10-What-The-MVP.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-what-the-mvp
Nike,"['LeBron', 'Ten']",Black/Chrome-University Red-Cool Grey,13,men,598360-001,"https://stockx.imgix.net/Nike-Lebron-X-10-Pressure.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-pressure
Nike,"['LeBron', 'Ten']",Bordeaux/Wolf Grey-Fireberry-Metallic Gold,9,men,542244-600,"https://stockx.imgix.net/Nike-Lebron-X-10-Crown-Jewel-Sport-Pack.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-sp-crown-jewel-fireberry
Nike,"['LeBron', 'Fifteen']",Gorge Green/Metallic Gold-White,7,men,TBD,"https://stockx.imgix.net/Nike-LeBron-15-Zip-Ronnie-Fieg-x-SVSM-PE.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-15-zip-ronnie-fieg-x-svsm-pe
Nike,"['LeBron', 'Ten']",Midnight Navy/Midnight Navy-Hazelnut-Fireberry,114,men,597806-400,"https://stockx.imgix.net/Nike-Lebron-X-10-EXT-Denim.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-ext-denim
Nike,"['LeBron', 'Ten']",Classic Brown/Classic Brown-University,101,men,580890-200,"https://stockx.imgix.net/Lebron-X-EXT-Cork-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1546679436",lebron-x-ext-cork
Nike,"['LeBron', 'Ten']",Tormaline/Black-University Red-Fiberglass,97,men,541100-303,"https://stockx.imgix.net/Nike-Lebron-X-10-Cutting-Jade.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-cutting-jade
Nike,"['LeBron', 'Ten']",Black/Black-Dark Field Brown-Tourmaline,83,men,607078-001,"https://stockx.imgix.net/Nike-Lebron-X-10-EXT-Black-Suede-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1552673294",lebron-x-ext-black-suede
Nike,"['LeBron', 'Zoom Soldier']",Black/Metallic Gold,66,men,885682-991,"https://stockx.imgix.net/Nike-Lebron-Zoom-Soldier-10-Black-Gold-ID.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-zoom-soldier-10-black-gold-nike-id
Nike,"['LeBron', 'Ten']",Volt/Wolf Grey-Pure Platinum,44,men,541100-700,"https://stockx.imgix.net/Nike-Lebron-X-10-Volt-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1545969846",lebron-x-volt
Nike,"['LeBron', 'Ten']",Hyper Blue/Pure Platinum/Bright Citrus,34,men,579827-400,"https://stockx.imgix.net/Lebron-X-Elite-Superhero-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549068178",lebron-x-elite-superhero
Nike,"['LeBron', 'Ten']",Atomic Teal/Atomic Teal-Total Orange,34,men,541100-302,"https://stockx.imgix.net/Nike-Lebron-X-10-Dolphins-Setting.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-setting
Nike,"['LeBron', 'Ten']",Photo Blue/Wind Chill-Tidepool Blue,30,men,598360-400,"https://stockx.imgix.net/Nike-Lebron-X-10-Blue-Diamond-Plus.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-blue-diamond
